date,aqi,pm2_5_avg,pm2_5_min,pm2_5_max,pm10_avg,pm10_min,pm10_max,no2_avg,no2_min,no2_max,nh3_avg,nh3_min,nh3_max,so2_avg,so2_min,so2_max,co_avg,co_min,co_max,ozone_avg,ozone_min,ozone_max,prominent_pollutent,max_temp,min_temp,humidity,total_deaths,avg_age_deaths,male_deaths,female_deaths,total_admissions,avg_age_admissions,avg_stay_duration,emergency_cases,mortality_rate_%,pollution_health_impact_index,risk_score,pm_avg,no2_impact,air_quality_score,health_impact_score,mortality_to_admissions_ratio,pm2_5_7day_rolling_avg,pm10_7day_rolling_avg,Overall_Risk_Level,month,year,day_of_week,pollution_severity_index,temp_difference,health_burden_index,gender_mortality_ratio,admission_to_emergency_ratio
2017-03-25,75,75,45,210,74,50,110,28,40,180,3,2,3,2,1,4,34,1,49,38,21,70,PM2.5,36,18,32.0,,,,,,,,,,65.3,39.18,74.5,33.6,90.58971141781682,25.58454,,,,Moderate,3,2017,Saturday,58.30000000000001,18,,,
2017-03-26,82,82,47,153,75,65,86,29,26,31,3,2,3,3,1,3,32,7,55,30,8,70,PM2.5,38,19,23.0,,,,,,,,,,69.3,41.58,78.5,34.8,89.71141781681305,28.81494,,,,Moderate,3,2017,Sunday,61.550000000000004,19,,,
2017-03-27,72,72,63,150,71,45,98,38,34,40,3,3,3,7,2,15,40,10,68,26,18,53,PM2.5,40,20,14.0,,,,,,,,,,64.89999999999999,38.93999999999999,71.5,45.6,90.96612296110412,25.272059999999996,,,,Moderate,3,2017,Monday,58.50000000000001,20,,,
2017-03-28,80,78,63,88,80,73,87,39,37,40,3,3,3,6,5,7,25,12,48,21,4,71,PM10,40,21,36.0,,,,,,,,,,70.8,42.48,79.0,46.8,89.96235884567126,30.07584,,,,Moderate,3,2017,Tuesday,62.900000000000006,19,,,
2017-03-29,73,64,53,75,73,63,86,38,36,41,3,2,4,5,1,8,35,20,54,32,6,56,PM10,40,23,31.0,,,,,,,,,,61.5,36.9,68.5,45.6,90.84065244667504,22.6935,,,,Moderate,3,2017,Wednesday,55.45,17,,,
2017-03-30,75,75,49,120,74,60,109,39,36,41,3,3,3,6,2,8,35,17,64,29,8,44,PM2.5,40,23,31.0,,,,,,,,,,67.5,40.5,74.5,46.8,90.58971141781682,27.3375,,,,Moderate,3,2017,Thursday,60.400000000000006,17,,,
2017-03-31,78,78,49,146,72,60,112,40,30,46,3,3,4,5,2,8,42,17,72,14,9,51,PM2.5,41,23,30.0,,,,,,,,,,68.6,41.16,75.0,48.0,90.21329987452948,28.23576,,74.85714285714286,74.14285714285714,Moderate,3,2017,Friday,61.4,18,,,
2017-04-01,52,38,19,61,35,24,54,20,10,24,3,2,3,4,1,7,40,20,65,44,15,66,CO,40,24,16.0,,,,,29.0,57.241379310344826,7.206896551724138,,,33.5,20.1,36.5,24.0,93.47553324968632,6.7335,,69.57142857142857,68.57142857142857,Low,4,2017,Saturday,31.1,16,,,
2017-04-02,59,53,11,191,59,22,104,18,8,20,2,1,2,6,2,10,30,18,45,40,7,77,PM10,40,21,14.0,2.0,57.0,,,13.0,64.53846153846153,6.461538461538462,,15.384615384615383,47.8,34.83384615384616,56.0,21.6,92.59723964868256,16.650578461538462,1.0989010989010988,65.42857142857143,66.28571428571429,Moderate,4,2017,Sunday,43.70000000000001,19,28.99907692307692,,
2017-04-03,70,62,32,114,70,41,122,10,7,18,2,1,2,9,1,16,28,11,46,47,18,68,PM10,39,22,14.0,,,,,26.0,57.92307692307692,4.461538461538462,,,54.0,32.4,66.0,12.0,91.21706398996236,17.496000000000002,,64.0,66.14285714285714,Moderate,4,2017,Monday,49.599999999999994,17,,,
2017-04-04,70,70,49,100,63,42,100,12,6,24,2,1,2,9,1,18,32,9,40,50,6,87,PM2.5,39,23,23.0,1.0,78.0,,,20.0,54.3,6.25,,5.0,56.3,35.779999999999994,66.5,14.4,91.21706398996236,20.14414,0.238095238095238,62.85714285714285,63.71428571428572,Moderate,4,2017,Tuesday,51.199999999999996,16,26.545999999999996,,
2017-04-05,88,88,79,99,85,76,95,6,5,9,1,1,1,6,3,12,29,12,41,40,8,60,PM2.5,36,20,51.0,,,,,7.0,54.285714285714285,6.142857142857143,,,70.7,42.42,86.5,7.199999999999999,88.95859473023839,29.99094,,66.28571428571429,65.42857142857143,Moderate,4,2017,Wednesday,63.650000000000006,16,,,
2017-04-06,75,75,56,139,69,43,110,6,4,11,1,1,1,5,2,7,30,16,48,39,6,62,PM2.5,36,21,40.0,1.0,67.0,,,11.0,69.45454545454545,11.0,,9.090909090909092,59.400000000000006,39.27636363636364,72.0,7.199999999999999,90.58971141781682,23.330160000000006,0.7575757575757577,66.28571428571429,64.71428571428571,Moderate,4,2017,Thursday,53.6,15,30.220727272727274,,
2017-04-07,86,86,64,112,82,61,101,9,4,12,1,1,1,5,1,9,29,12,56,40,14,75,PM2.5,33,20,29.0,,,,,6.0,62.833333333333336,4.833333333333333,,,69.39999999999999,41.63999999999999,84.0,10.8,89.20953575909661,28.898159999999997,,67.42857142857143,66.14285714285714,Moderate,4,2017,Friday,62.300000000000004,13,,,
2017-04-08,88,88,63,173,81,61,121,7,6,9,1,1,1,5,1,13,46,30,57,31,6,65,PM2.5,33,17,20.0,2.0,79.5,,,11.0,56.81818181818182,6.454545454545454,,18.181818181818183,69.7,49.09272727272728,84.5,8.4,88.95859473023839,34.217630909090914,1.5151515151515154,74.57142857142857,72.71428571428571,Moderate,4,2017,Saturday,63.349999999999994,16,39.81945454545455,,
2017-04-09,87,87,68,162,81,65,117,8,4,14,1,1,1,4,1,7,38,27,50,45,7,80,PM2.5,33,18,15.0,2.0,71.0,,,8.0,58.75,6.25,,25.0,69.39999999999999,51.63999999999999,84.0,9.6,89.0840652446675,35.838159999999995,2.7777777777777777,79.42857142857143,75.85714285714286,High,4,2017,Sunday,62.60000000000001,15,43.647999999999996,,
2017-04-10,48,32,22,73,31,22,70,9,2,10,3,3,3,7,1,21,48,20,88,40,10,78,CO,34,17,15.0,,,,,9.0,55.11111111111112,7.111111111111111,,,27.1,16.259999999999998,31.5,10.8,93.97741530740277,4.406459999999999,,75.14285714285714,70.28571428571429,Low,4,2017,Monday,26.550000000000004,17,,,
2017-04-11,39,39,22,50,36,22,54,2,1,8,3,2,3,19,6,17,37,25,40,30,14,46,PM2.5,38,19,14.0,2.0,75.0,,,16.0,54.125,5.1875,,12.5,30.7,23.42,37.5,2.4,95.10664993726476,7.18994,0.7352941176470589,70.71428571428571,66.42857142857143,Low,4,2017,Tuesday,30.45,19,20.144,,
2017-04-12,99,99,54,148,76,39,99,19,9,29,1,1,5,11,7,18,9,3,41,28,12,54,PM2.5,40,21,13.0,1.0,65.0,,,20.0,59.8,8.35,,5.0,76.1,47.66,87.5,22.8,87.5784190715182,36.26926,0.238095238095238,72.28571428571429,65.14285714285714,Moderate,4,2017,Wednesday,66.8,19,34.861999999999995,,
2017-04-13,105,105,57,158,100,64,172,17,6,36,1,1,1,11,2,20,12,6,38,26,10,52,PM2.5,42,21,11.0,,,,,11.0,64.81818181818181,4.727272727272728,,,85.9,51.54,102.5,20.4,86.82559598494353,44.27286,,76.57142857142857,69.57142857142857,High,4,2017,Thursday,76.24999999999999,21,,,
2017-04-14,114,91,54,143,114,67,145,15,12,19,1,1,2,9,1,19,17,5,29,30,11,41,PM10,42,23,10.0,,,,,8.0,54.875,8.0,,,82.69999999999999,49.61999999999999,102.5,18.0,85.69636135508155,41.03573999999999,,77.28571428571429,74.14285714285714,Moderate,4,2017,Friday,74.6,19,,,
2017-04-15,100,86,46,128,100,41,181,17,13,33,1,1,2,12,2,33,34,8,75,38,15,55,PM10,43,24,11.0,,,,,7.0,53.42857142857143,3.7142857142857135,,,76.4,45.84,93.0,20.4,87.45294855708909,35.02176000000001,,77.0,76.85714285714286,Moderate,4,2017,Saturday,69.85000000000001,19,,,
2017-04-16,60,60,28,96,58,24,98,15,8,17,1,1,1,9,2,29,27,5,118,25,9,52,PM2.5,44,25,11.0,,,,,5.0,59.0,3.8,,,50.4,30.24,59.0,18.0,92.47176913425344,15.24096,,73.14285714285714,73.57142857142857,Moderate,4,2017,Sunday,45.9,19,,,
2017-04-17,60,52,24,78,60,22,85,16,15,18,1,1,1,9,5,16,22,5,63,19,10,33,PM10,42,26,12.0,2.0,62.5,,,5.0,62.4,9.2,,40.0,47.2,44.32,56.0,19.2,92.47176913425344,20.91904,6.666666666666667,76.0,77.71428571428571,Moderate,4,2017,Monday,43.199999999999996,16,43.024,,
2017-04-18,86,75,37,111,86,67,107,16,14,17,1,1,1,8,6,12,26,5,73,35,6,49,PM10,43,24,16.0,1.0,53.0,,,5.0,70.4,5.6,,20.0,66.5,47.9,80.5,19.2,89.20953575909661,31.8535,3.333333333333333,81.14285714285714,84.85714285714286,Moderate,4,2017,Tuesday,60.29999999999999,19,39.53,,
2017-04-19,90,70,30,101,90,56,80,14,10,18,2,1,2,10,5,18,20,3,48,35,11,53,PM10,41,28,19.0,1.0,50.0,,,8.0,65.75,7.5,,12.5,64.8,43.88,80.0,16.8,88.70765370138018,28.43424,1.3888888888888888,77.0,86.85714285714286,Moderate,4,2017,Wednesday,59.1,13,34.466,,
2017-04-20,104,104,68,294,89,65,148,12,11,12,1,1,1,11,1,26,88,44,114,43,12,63,PM2.5,44,27,20.0,,,,,21.0,54.80952380952381,4.761904761904762,,,81.10000000000001,48.66,96.5,14.4,86.95106649937264,39.463260000000005,,76.85714285714286,85.28571428571429,Moderate,4,2017,Thursday,75.6,17,,,
2017-04-21,101,101,68,172,98,78,120,4,1,8,1,1,1,11,2,21,70,23,118,46,8,67,PM2.5,43,28,19.0,,,,,16.0,67.5,6.125,,,80.7,48.42,99.5,4.8,87.32747804265998,39.074940000000005,,78.28571428571429,83.0,Moderate,4,2017,Friday,75.0,15,,,
2017-04-22,104,104,72,159,91,69,116,11,8,18,1,1,1,6,1,11,48,15,100,43,8,75,PM2.5,42,29,20.0,,,,,32.0,60.25,8.5,,,81.5,48.9,97.5,13.2,86.95106649937264,39.8535,,80.85714285714286,81.71428571428571,Moderate,4,2017,Saturday,73.55000000000001,13,,,
2017-04-23,93,93,71,137,86,68,109,6,3,11,1,1,1,6,2,9,33,26,41,42,10,65,PM2.5,41,27,21.0,,,,,17.0,56.64705882352941,4.941176470588236,,,73.5,44.1,89.5,7.199999999999999,88.33124215809285,32.4135,,85.57142857142857,85.71428571428571,Moderate,4,2017,Sunday,66.15,14,,,
2017-04-24,111,111,73,298,93,70,161,7,4,16,1,1,1,4,1,9,30,16,45,42,9,64,PM2.5,42,25,14.0,,,,,39.0,62.15384615384615,5.410256410256411,,,84.80000000000001,50.88,102.0,8.4,86.07277289836888,43.146240000000006,,94.0,90.42857142857144,High,4,2017,Monday,75.25000000000001,17,,,
2017-04-25,73,73,62,129,69,59,106,7,4,11,1,1,1,4,1,6,37,24,46,26,10,60,PM2.5,40,24,16.0,,,,,26.0,60.96153846153846,5.0,,,58.6,35.16,71.0,8.4,90.84065244667504,20.60376,,93.71428571428572,88.0,Moderate,4,2017,Tuesday,53.2,16,,,
2017-04-26,97,97,64,184,84,61,124,8,3,17,1,1,1,4,2,8,35,15,48,42,6,58,PM2.5,43,26,15.0,,,,,27.0,59.81481481481482,4.592592592592593,,,75.3,45.18,90.5,9.6,87.82936010037642,34.02054,,97.57142857142856,87.14285714285714,Moderate,4,2017,Wednesday,67.35000000000001,17,,,
2017-04-27,88,88,79,99,85,76,95,6,5,6,1,1,1,6,3,12,44,24,56,40,14,55,PM2.5,38,24,17.0,,,,,33.0,63.03030303030303,6.575757575757576,,,70.7,42.42,86.5,7.199999999999999,88.95859473023839,29.99094,,95.28571428571428,86.57142857142857,Moderate,4,2017,Thursday,64.4,14,,,
